id,author,updated_time,device,spent,stars,contents,ups,downs
24412175,椿,1619513669,,117395,2,活跃度越高越给你匹配nt队友，活跃度越低越给你匹配zz对手，这还不算那些被没有教养也没亲人的孤儿搞黄的局，举报系统也是个笑话，偶尔玩两把就行了，玩的越多越生气,0,0
24412076,nameless,1619513277,三星Galaxy S20 Ultra 5G,0,1,我只希望那些情侣能好好练练技术再来排位吗？除非五排那五局三局都有情侣，英雄池还贼少，能玩点有意义的人物吗？你搁哪上来抢个瑶算什么玩意。我不是看不起瑶，那玩意也得和队友配合的好才行吧。你一个钻石星耀局玩瑶谁和你配合?那队友脑子能对线五五开就不错了怎么玩配合。要意识没意识还玩混子辅助。还有那些人你要真有实力带飞你带个妹子也就算了。玩的跟坨shi一样就别学别人带妹了好不。创个小号陪妹子打打黄金白银局不香吗？现在那钻石星耀简直无语。这王者匹配机制本来就恶心人。你还搁那嚯嚯队友。我真希望以后出一个选择性当对手机制，谁恶心你，你下一局就直接在对面。给一个和队友当对手的机会。我非得把那些恶心人的人打出shi,1,0
24411824,starts,1619512298,,51784,3,毁灭吧，连胜就一定匹配全是坑比吗。,0,0
24411470,雨忌,1619510996,OPPO A8,29959,1,垃圾游戏 大众低龄向 英雄改动垃圾 匹配机制垃圾,0,0
24411422,一笑,1619510806,华为荣耀20S,0,4,哈哈哈哈，好想知道王者评分为啥这么低，我觉得还挺好玩的。,0,0
24411391,小小雨,1619510643,OPPO A9中国版,33385,5,不错,0,0
24411225,╰★皮神在此★╮,1619510135,Realme RMX2173,12046,1,大哥，不要这么EX我啊，新赛季刚从王者掉到钻石，打了六把晋级赛全输了，我好歹也充了1.2万，给个保底也行啊，本来就1.5小时周六日能玩，求你改一下制度吧，不然真要退游了,3,0
24411105,Annie,1619509744,华为P40 Pro,76515,3,哎 氪了大几千非酋玩了一年多还是没有小乔天鹅玩了几千把就学会了骂人吧,0,0
24410936,神无极与桑陌,1619509234,华为 畅享10,120001,1,如果可以打0分，我就打0分。我反馈了好多次，一次都没有恢复。玩一次啊，退出一次玩一次被强制退出。一直是你玩原生，都是一直线上都没被退出过。也没卡过。一玩这个王者荣耀。进去就是个460。,0,0
24410721,血色残阳,1619508531,小米MIX 3,11001,2,我想问一下，大家打排位时，自己队友只要有叫违规昵称加字母的就输啊，我怀疑那是电脑，不打团，别人来抓只会战撸，从不操作，召唤师技能从来不用！！！,0,0
24410543,:(,1619507875,,0,4,游戏很棒，但是总觉得连胜多了后面，就会匹配到脑残的队友，这种我不太能接受，明明自己很厉害，但是却一直输一直输一直输，玩游戏变成了一件很让人生气的事，更有一些人进来就开始说输了好多把要开始演真的接受不了这种。 以前还觉得小孩子们可以玩游戏，玩这个游戏以后发现小孩子可能小脑发育真的不完全，脑残就不要玩了，真的，非常影响别的玩家的游戏体验。然后希望游戏挂机送人头骂人什么的惩罚机制更严一点不然大家都很无所谓，举报了也没有带来什么实质性的损失和起到一些惩罚。,1,0
24410369,缈雾,1619507209,华为P40 Pro,17614,5,游戏不错，在下闲暇时候可以玩一玩来吧发吧发时间,0,0
24410296,猫不理狗,1619506926,,32024,1,最近老匹配到些阿毛阿狗，打的我都没脾气了，排位一直连输，呜呜呜呜,0,0
24410054,☆,1619506101,Vivo V1932A,41012,1,护卫队有什么屁用啊，选个百里打团直接少一个人，搁后面瞄瞄瞄，一点用没有，举报还不成功,1,0
24410013,,1619505947,小米M2007J17C,0,1,匹配机制太恶心了,1,0
24409662,52Hertz,1619504636,小米Redmi K30 Pro,120001,4,给四星吧，手机游戏玩的最久的游戏，有优点，同时也有缺点。,0,0
24409558,卖女孩的小火柴,1619504220,小米M2007J17C,0,4,我来看我玩了多久。,0,0
24409525,Agoni*,1619504124,华为荣耀20Pro,47381,5,很好,0,0
24409372,窃·格瓦拉·D·周某,1619503585,魅族16 X,0,1,s4开始玩的，玩不明白这个游戏了，随随便便玩的就能混上王者，努力练刺客打野没什么用了，干脆都去玩亚瑟打野，程咬金打野得了，高风险，高回报也没了，策划无脑削元歌，露娜，马超等高操作英雄。以后就都去玩妲己鲁班后羿得了，秀什么操作啊？匹配也是机制真的拉垮，懂的都懂。就想着恰烂钱的lj游戏。,0,0
24409235,柚稚.,1619503116,Vivo Y93标准版64G,0,3,好玩是好玩，但是总是遇到坑货，赢一把输十把的。,0,0
24408832,我爱迪迦,1619501547,Vivo Y85A,0,3,这个游戏很好，但是主要是游戏匹配机制真的让人恶心，还有就是那什么隐藏分。三分给游戏设计,0,0
23461506,手机用户35147230,1619501529,华为HONOR 20,0,1,后台控制你的胜率&hellip;不是你技术不行&hellip;而是你被控制了&hellip;&hellip;,1,0
